O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-1011.00,Chief Executives,Adobe Acrobat,43232202,Document management ,Y
11-1011.00,Chief Executives,AdSense Tracker,43232306,Data base user interface and query ,N
11-1011.00,Chief Executives,JIRA,43232201,Content workflow ,Y
11-1011.00,Chief Executives,Blackbaud The Raiser's Edge,43232303,Customer relationship management CRM ,Y
11-1011.00,Chief Executives,ComputerEase Construction Accounting,43231601,Accounting ,N
11-1011.00,Chief Executives,Database reporting software,43232305,Data base reporting ,N
11-1011.00,Chief Executives,Databox,43232306,Data base user interface and query ,N
11-1011.00,Chief Executives,Email software,43233501,Electronic mail ,N
11-1011.00,Chief Executives,Enterprise resource planning ERP software,43231602,Enterprise resource planning ERP ,Y
11-1011.00,Chief Executives,Exact Software Macola ES Labor Performance,43231605,Time accounting ,N
11-1011.00,Chief Executives,Extensible markup language XML,43232403,Enterprise application integration ,Y
11-1011.00,Chief Executives,Fund accounting software,43231601,Accounting ,Y
11-1011.00,Chief Executives,Graphic presentation software,43232102,Graphics or photo imaging ,N
11-1011.00,Chief Executives,Halogen e360,43231505,Human resources ,N
11-1011.00,Chief Executives,Halogen ePraisal,43231505,Human resources ,N
11-1011.00,Chief Executives,HCSS HeavyBid,43231507,Project management ,N
11-1011.00,Chief Executives,HCSS HeavyJob,43231507,Project management ,N
11-1011.00,Chief Executives,Human resource information system HRIS,43231505,Human resources ,N
11-1011.00,Chief Executives,Infor SSA Human Capital Management,43231505,Human resources ,N
11-1011.00,Chief Executives,Intuit QuickBooks,43231601,Accounting ,Y
11-1011.00,Chief Executives,Listserv software,43233501,Electronic mail ,N
11-1011.00,Chief Executives,Lyris HQ Web-Analytics Solution,43232605,Analytical or scientific ,N
11-1011.00,Chief Executives,Microsoft Access,43232306,Data base user interface and query ,Y
11-1011.00,Chief Executives,Microsoft Dynamics AX,43231602,Enterprise resource planning ERP ,Y
11-1011.00,Chief Executives,Microsoft Dynamics GP,43231602,Enterprise resource planning ERP ,Y
11-1011.00,Chief Executives,Microsoft Excel,43232110,Spreadsheet ,Y
11-1011.00,Chief Executives,Microsoft FRx,43231604,Financial analysis ,N
